City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
397,Skjervoy,NO,70.0311,20.9714,26.6,57,100,21.59,light snow
398,Svetlogorsk,BY,52.6333,29.7333,45.81,79,100,17.27,overcast clouds
399,Kodinsk,RU,58.6881,99.1844,12.04,95,100,4.61,light snow
400,Port Blair,IN,11.6667,92.75,81.34,84,49,8.59,scattered clouds
401,Bandarbeyla,SO,9.4942,50.8122,78.1,70,4,11.86,clear sky
402,Artigas,UY,-30.4,-56.4667,93.69,19,0,9.01,clear sky
403,Adrar,MR,20.5022,-10.0711,90.39,17,95,3.18,overcast clouds
404,Avera,US,33.194,-82.5271,64.67,54,18,3.94,few clouds
405,Gilbues,BR,-9.8317,-45.3439,95.23,28,50,5.57,scattered clouds
406,Egvekinot,RU,66.3167,-179.1667,-9.26,90,19,10.4,few clouds
407,Yulara,AU,-25.2406,130.9889,75.07,26,81,17.11,broken clouds
408,Talaya,RU,61.3833,152.75,-10.08,100,100,3.85,overcast clouds
409,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,54,40,16.11,scattered clouds
410,Ambalavao,MG,-21.8333,46.9333,69.01,84,76,6.04,broken clouds
411,Karpogory,RU,64.0019,44.4451,15.4,98,96,1.95,overcast clouds
412,Soyo,AO,-6.1349,12.3689,80.1,79,100,8.03,overcast clouds
413,Dudinka,RU,69.4058,86.1778,-11.25,78,29,10.76,scattered clouds
414,Port Hardy,CA,50.6996,-127.4199,42.33,92,100,18.92,moderate rain
415,Xinqing,CN,48.2333,129.5,15.62,92,100,6.93,light snow
416,Hovd,MN,48.0056,91.6419,11.7,32,19,0.67,few clouds
417,Nanortalik,GL,60.1432,-45.2371,34.14,99,100,6.17,light rain
418,Buraydah,SA,26.326,43.975,70.25,34,23,4.92,few clouds
419,Guru Har Sahai,IN,30.7167,74.4167,64.36,21,0,4.54,clear sky
